sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9653177234360482
6.9,3.1,5.1,2.3,virginica,0.9645001161006985
5.1,2.5,3.0,1.1,versicolor,0.9498908123167848
4.4,2.9,,0.2,setosa,0.6295242251885852
5.9,3.0,5.1,1.8,virginica,0.7520221475040362
5.5,3.5,1.3,0.2,setosa,0.9574447822646756
5.6,,3.6,1.3,versicolor,0.9384616318536915
6.5,3.0,5.2,2.0,virginica,0.944007424801476
5.3,3.7,1.5,0.2,setosa,0.9627625304075742
5.1,3.4,1.5,,setosa,0.8081343739999606
6.1,2.8,4.0,1.3,versicolor,0.9777431430039267
5.5,2.4,3.7,1.0,versicolor,0.9780852576955469
7.7,3.0,6.1,2.3,virginica,0.9600155893035762
6.9,3.1,4.9,1.5,versicolor,0.7517395075633201
6.0,2.2,5.0,1.5,versicolor,0.600008645773315
